WWGI/URY_CC_PER_RNK,Control of Corruption; Percentile Rank - Uruguay
WWGI/UKR_VA_NO_SRC,Voice and Accountability; Number of Sources - Ukraine
WWGI/URY_GE_NO_SRC,Government Effectiveness; Number of Sources - Uruguay
WWGI/URY_CC_NO_SRC,Control of Corruption; Number of Sources - Uruguay
WWGI/UKR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Ukraine
WWGI/URY_GE_EST,Government Effectiveness; Estimate - Uruguay
WWGI/URY_GE_STD_ERR,Government Effectiveness; Standard Error - Uruguay
WWGI/URY_GE_PER_RNK,Government Effectiveness; Percentile Rank - Uruguay
WWGI/URY_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Uruguay
WWGI/URY_CC_STD_ERR,Control of Corruption; Standard Error - Uruguay
WWGI/URY_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Uruguay
WWGI/URY_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Uruguay
WWGI/URY_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Uruguay
WWGI/URY_RQ_NO_SRC,Regulatory Quality; Number of Sources - Uruguay
WWGI/URY_RQ_EST,Regulatory Quality; Estimate - Uruguay
WWGI/URY_RL_EST,Rule of Law; Estimate - Uruguay
WWGI/URY_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Uruguay
WWGI/URY_RL_NO_SRC,Rule of Law; Number of Sources - Uruguay
WWGI/URY_RL_STD_ERR,Rule of Law; Standard Error - Uruguay
WWGI/URY_RQ_STD_ERR,Regulatory Quality; Standard Error - Uruguay
WWGI/URY_VA_EST,Voice and Accountability; Estimate - Uruguay
WWGI/URY_RL_PER_RNK,Rule of Law; Percentile Rank - Uruguay
WWGI/URY_VA_NO_SRC,Voice and Accountability; Number of Sources - Uruguay
WWGI/URY_VA_PER_RNK,Voice and Accountability; Percentile Rank - Uruguay
WWGI/URY_VA_STD_ERR,Voice and Accountability; Standard Error - Uruguay
WWGI/USA_CC_PER_RNK,Control of Corruption; Percentile Rank - United States
WWGI/USA_CC_EST,Control of Corruption; Estimate - United States
WWGI/USA_CC_NO_SRC,Control of Corruption; Number of Sources - United States
WWGI/USA_CC_STD_ERR,Control of Corruption; Standard Error - United States
WWGI/USA_GE_EST,Government Effectiveness; Estimate - United States
WWGI/USA_GE_NO_SRC,Government Effectiveness; Number of Sources - United States
WWGI/USA_GE_PER_RNK,Government Effectiveness; Percentile Rank - United States
WWGI/USA_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - United States
WWGI/USA_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - United States
WWGI/USA_GE_STD_ERR,Government Effectiveness; Standard Error - United States
WWGI/USA_RQ_EST,Regulatory Quality; Estimate - United States
WWGI/USA_RQ_STD_ERR,Regulatory Quality; Standard Error - United States
WWGI/USA_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - United States
WWGI/USA_RQ_NO_SRC,Regulatory Quality; Number of Sources - United States
WWGI/USA_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - United States
WWGI/USA_RQ_PER_RNK,Regulatory Quality; Percentile Rank - United States
WWGI/USA_RL_PER_RNK,Rule of Law; Percentile Rank - United States
WWGI/USA_RL_STD_ERR,Rule of Law; Standard Error - United States
WWGI/USA_RL_NO_SRC,Rule of Law; Number of Sources - United States
WWGI/USA_RL_EST,Rule of Law; Estimate - United States
WWGI/USA_VA_NO_SRC,Voice and Accountability; Number of Sources - United States
WWGI/USA_VA_EST,Voice and Accountability; Estimate - United States
WWGI/USA_VA_STD_ERR,Voice and Accountability; Standard Error - United States
WWGI/UZB_CC_EST,Control of Corruption; Estimate - Uzbekistan
WWGI/UZB_CC_NO_SRC,Control of Corruption; Number of Sources - Uzbekistan
WWGI/USA_VA_PER_RNK,Voice and Accountability; Percentile Rank - United States
WWGI/UZB_GE_EST,Government Effectiveness; Estimate - Uzbekistan
WWGI/UZB_CC_STD_ERR,Control of Corruption; Standard Error - Uzbekistan
WWGI/UZB_CC_PER_RNK,Control of Corruption; Percentile Rank - Uzbekistan
WWGI/UZB_GE_NO_SRC,Government Effectiveness; Number of Sources - Uzbekistan
WWGI/UZB_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Uzbekistan
WWGI/UZB_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Uzbekistan
WWGI/UZB_GE_PER_RNK,Government Effectiveness; Percentile Rank - Uzbekistan
WWGI/UZB_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Uzbekistan
WWGI/UZB_GE_STD_ERR,Government Effectiveness; Standard Error - Uzbekistan
WWGI/UZB_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Uzbekistan
WWGI/UZB_RQ_EST,Regulatory Quality; Estimate - Uzbekistan
WWGI/UZB_RQ_NO_SRC,Regulatory Quality; Number of Sources - Uzbekistan
WWGI/UZB_RQ_STD_ERR,Regulatory Quality; Standard Error - Uzbekistan
WWGI/UZB_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Uzbekistan
WWGI/UZB_RL_NO_SRC,Rule of Law; Number of Sources - Uzbekistan
WWGI/UZB_RL_EST,Rule of Law; Estimate - Uzbekistan
WWGI/UZB_RL_STD_ERR,Rule of Law; Standard Error - Uzbekistan
WWGI/UZB_RL_PER_RNK,Rule of Law; Percentile Rank - Uzbekistan
WWGI/UZB_VA_EST,Voice and Accountability; Estimate - Uzbekistan
WWGI/UZB_VA_NO_SRC,Voice and Accountability; Number of Sources - Uzbekistan
WWGI/VCT_CC_EST,Control of Corruption; Estimate - St. Vincent and the Grenadines
WWGI/UZB_VA_STD_ERR,Voice and Accountability; Standard Error - Uzbekistan
WWGI/UZB_VA_PER_RNK,Voice and Accountability; Percentile Rank - Uzbekistan
WWGI/VCT_CC_PER_RNK,Control of Corruption; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_CC_NO_SRC,Control of Corruption; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_GE_EST,Government Effectiveness; Estimate - St. Vincent and the Grenadines
WWGI/VCT_CC_STD_ERR,Control of Corruption; Standard Error - St. Vincent and the Grenadines
WWGI/VCT_GE_NO_SRC,Government Effectiveness; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_GE_STD_ERR,Government Effectiveness; Standard Error - St. Vincent and the Grenadines
WWGI/VCT_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - St. Vincent and the Grenadines
WWGI/VCT_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_RQ_EST,Regulatory Quality; Estimate - St. Vincent and the Grenadines
WWGI/VCT_RQ_NO_SRC,Regulatory Quality; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - St. Vincent and the Grenadines
WWGI/VCT_RQ_PER_RNK,Regulatory Quality; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_GE_PER_RNK,Government Effectiveness; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_RL_NO_SRC,Rule of Law; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_RQ_STD_ERR,Regulatory Quality; Standard Error - St. Vincent and the Grenadines
WWGI/VCT_VA_EST,Voice and Accountability; Estimate - St. Vincent and the Grenadines
WWGI/VCT_RL_EST,Rule of Law; Estimate - St. Vincent and the Grenadines
WWGI/VCT_RL_STD_ERR,Rule of Law; Standard Error - St. Vincent and the Grenadines
WWGI/VCT_RL_PER_RNK,Rule of Law; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_VA_NO_SRC,Voice and Accountability; Number of Sources - St. Vincent and the Grenadines
WWGI/VCT_VA_PER_RNK,Voice and Accountability; Percentile Rank - St. Vincent and the Grenadines
WWGI/VCT_VA_STD_ERR,Voice and Accountability; Standard Error - St. Vincent and the Grenadines
WWGI/VEN_CC_NO_SRC,"Control of Corruption; Number of Sources - Venezuela, RB"
WWGI/VEN_CC_EST,"Control of Corruption; Estimate - Venezuela, RB"
WWGI/VEN_CC_PER_RNK,"Control of Corruption; Percentile Rank - Venezuela, RB"
WWGI/VEN_CC_STD_ERR,"Control of Corruption; Standard Error - Venezuela, RB"
WWGI/VEN_GE_EST,"Government Effectiveness; Estimate - Venezuela, RB"
WWGI/VEN_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Venezuela, RB"
WWGI/VEN_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Venezuela, RB"
WWGI/VEN_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Venezuela, RB"
WWGI/VEN_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Venezuela, RB"
WWGI/VEN_GE_NO_SRC,"Government Effectiveness; Number of Sources - Venezuela, RB"
WWGI/VEN_GE_STD_ERR,"Government Effectiveness; Standard Error - Venezuela, RB"
WWGI/VEN_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Venezuela, RB"
WWGI/VEN_RQ_EST,"Regulatory Quality; Estimate - Venezuela, RB"
WWGI/VEN_RQ_STD_ERR,"Regulatory Quality; Standard Error - Venezuela, RB"
WWGI/VEN_RL_EST,"Rule of Law; Estimate - Venezuela, RB"
WWGI/VEN_RL_NO_SRC,"Rule of Law; Number of Sources - Venezuela, RB"
WWGI/VEN_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Venezuela, RB"
WWGI/VEN_RL_PER_RNK,"Rule of Law; Percentile Rank - Venezuela, RB"
WWGI/VEN_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Venezuela, RB"
WWGI/VEN_RL_STD_ERR,"Rule of Law; Standard Error - Venezuela, RB"
WWGI/VEN_VA_EST,"Voice and Accountability; Estimate - Venezuela, RB"
WWGI/VEN_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Venezuela, RB"
WWGI/VEN_VA_NO_SRC,"Voice and Accountability; Number of Sources - Venezuela, RB"
WWGI/VIR_CC_PER_RNK,Control of Corruption; Percentile Rank - Virgin Islands (U.S.)
WWGI/VEN_VA_STD_ERR,"Voice and Accountability; Standard Error - Venezuela, RB"
WWGI/VIR_GE_EST,Government Effectiveness; Estimate - Virgin Islands (U.S.)
WWGI/VIR_CC_NO_SRC,Control of Corruption; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_CC_EST,Control of Corruption; Estimate - Virgin Islands (U.S.)
WWGI/VIR_GE_NO_SRC,Government Effectiveness; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_CC_STD_ERR,Control of Corruption; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_GE_PER_RNK,Government Effectiveness; Percentile Rank - Virgin Islands (U.S.)
WWGI/VIR_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Virgin Islands (U.S.)
WWGI/VIR_GE_STD_ERR,Government Effectiveness; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Virgin Islands (U.S.)
WWGI/VIR_RQ_NO_SRC,Regulatory Quality; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_RQ_EST,Regulatory Quality; Estimate - Virgin Islands (U.S.)
WWGI/VIR_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Virgin Islands (U.S.)
WWGI/VIR_RQ_STD_ERR,Regulatory Quality; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_RL_PER_RNK,Rule of Law; Percentile Rank - Virgin Islands (U.S.)
WWGI/VIR_RL_NO_SRC,Rule of Law; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_RL_EST,Rule of Law; Estimate - Virgin Islands (U.S.)
WWGI/VIR_RL_STD_ERR,Rule of Law; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_VA_EST,Voice and Accountability; Estimate - Virgin Islands (U.S.)
WWGI/VIR_VA_NO_SRC,Voice and Accountability; Number of Sources - Virgin Islands (U.S.)
WWGI/VIR_VA_STD_ERR,Voice and Accountability; Standard Error - Virgin Islands (U.S.)
WWGI/VIR_VA_PER_RNK,Voice and Accountability; Percentile Rank - Virgin Islands (U.S.)
WWGI/VNM_CC_NO_SRC,Control of Corruption; Number of Sources - Vietnam
WWGI/VNM_CC_EST,Control of Corruption; Estimate - Vietnam
WWGI/VNM_CC_PER_RNK,Control of Corruption; Percentile Rank - Vietnam
WWGI/VNM_CC_STD_ERR,Control of Corruption; Standard Error - Vietnam
WWGI/VNM_GE_EST,Government Effectiveness; Estimate - Vietnam
WWGI/VNM_GE_STD_ERR,Government Effectiveness; Standard Error - Vietnam
WWGI/VNM_GE_NO_SRC,Government Effectiveness; Number of Sources - Vietnam
WWGI/VNM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Vietnam
WWGI/VNM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Vietnam
WWGI/VNM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Vietnam
WWGI/VNM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Vietnam
WWGI/VNM_RQ_EST,Regulatory Quality; Estimate - Vietnam
WWGI/VNM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Vietnam
WWGI/VNM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Vietnam
WWGI/VNM_RQ_STD_ERR,Regulatory Quality; Standard Error - Vietnam
WWGI/VNM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Vietnam
WWGI/VNM_RL_PER_RNK,Rule of Law; Percentile Rank - Vietnam
WWGI/VNM_RL_STD_ERR,Rule of Law; Standard Error - Vietnam
WWGI/VNM_RL_EST,Rule of Law; Estimate - Vietnam
WWGI/VNM_RL_NO_SRC,Rule of Law; Number of Sources - Vietnam
WWGI/VNM_VA_NO_SRC,Voice and Accountability; Number of Sources - Vietnam
WWGI/VNM_VA_EST,Voice and Accountability; Estimate - Vietnam
WWGI/VNM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Vietnam
WWGI/VUT_CC_EST,Control of Corruption; Estimate - Vanuatu
WWGI/VNM_VA_STD_ERR,Voice and Accountability; Standard Error - Vietnam
WWGI/VUT_CC_NO_SRC,Control of Corruption; Number of Sources - Vanuatu
WWGI/VUT_CC_STD_ERR,Control of Corruption; Standard Error - Vanuatu
WWGI/VUT_CC_PER_RNK,Control of Corruption; Percentile Rank - Vanuatu
WWGI/VUT_GE_PER_RNK,Government Effectiveness; Percentile Rank - Vanuatu
WWGI/VUT_GE_NO_SRC,Government Effectiveness; Number of Sources - Vanuatu
WWGI/VUT_GE_STD_ERR,Government Effectiveness; Standard Error - Vanuatu
WWGI/VUT_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Vanuatu
WWGI/VUT_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Vanuatu
WWGI/VUT_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Vanuatu
WWGI/VUT_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Vanuatu
WWGI/VUT_RQ_EST,Regulatory Quality; Estimate - Vanuatu
WWGI/VUT_RQ_NO_SRC,Regulatory Quality; Number of Sources - Vanuatu
WWGI/VUT_RQ_STD_ERR,Regulatory Quality; Standard Error - Vanuatu
WWGI/VUT_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Vanuatu
WWGI/VUT_RL_EST,Rule of Law; Estimate - Vanuatu
WWGI/VUT_RL_NO_SRC,Rule of Law; Number of Sources - Vanuatu
WWGI/VUT_RL_STD_ERR,Rule of Law; Standard Error - Vanuatu
WWGI/VUT_VA_EST,Voice and Accountability; Estimate - Vanuatu
WWGI/VUT_VA_NO_SRC,Voice and Accountability; Number of Sources - Vanuatu
WWGI/VUT_VA_PER_RNK,Voice and Accountability; Percentile Rank - Vanuatu
WWGI/VUT_VA_STD_ERR,Voice and Accountability; Standard Error - Vanuatu
WWGI/WSM_CC_NO_SRC,Control of Corruption; Number of Sources - Samoa
WWGI/WSM_CC_EST,Control of Corruption; Estimate - Samoa
WWGI/WSM_CC_PER_RNK,Control of Corruption; Percentile Rank - Samoa
WWGI/WSM_GE_NO_SRC,Government Effectiveness; Number of Sources - Samoa
WWGI/WSM_GE_EST,Government Effectiveness; Estimate - Samoa
WWGI/WSM_CC_STD_ERR,Control of Corruption; Standard Error - Samoa
WWGI/WSM_GE_STD_ERR,Government Effectiveness; Standard Error - Samoa
WWGI/WSM_GE_PER_RNK,Government Effectiveness; Percentile Rank - Samoa
WWGI/WSM_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Samoa
WWGI/WSM_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Samoa
WWGI/WSM_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Samoa
WWGI/WSM_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Samoa
WWGI/WSM_RQ_EST,Regulatory Quality; Estimate - Samoa
WWGI/WSM_RQ_NO_SRC,Regulatory Quality; Number of Sources - Samoa
WWGI/VUT_GE_EST,Government Effectiveness; Estimate - Vanuatu
WWGI/WSM_RQ_STD_ERR,Regulatory Quality; Standard Error - Samoa
WWGI/WSM_RL_EST,Rule of Law; Estimate - Samoa
WWGI/WSM_RL_PER_RNK,Rule of Law; Percentile Rank - Samoa
WWGI/WSM_VA_EST,Voice and Accountability; Estimate - Samoa
WWGI/WSM_RL_STD_ERR,Rule of Law; Standard Error - Samoa
WWGI/WSM_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Samoa
WWGI/WSM_RL_NO_SRC,Rule of Law; Number of Sources - Samoa
WWGI/WSM_VA_NO_SRC,Voice and Accountability; Number of Sources - Samoa
WWGI/WSM_VA_PER_RNK,Voice and Accountability; Percentile Rank - Samoa
WWGI/YEM_CC_EST,"Control of Corruption; Estimate - Yemen, Rep."
WWGI/YEM_CC_NO_SRC,"Control of Corruption; Number of Sources - Yemen, Rep."
WWGI/WSM_VA_STD_ERR,Voice and Accountability; Standard Error - Samoa
WWGI/YEM_CC_PER_RNK,"Control of Corruption; Percentile Rank - Yemen, Rep."
WWGI/YEM_CC_STD_ERR,"Control of Corruption; Standard Error - Yemen, Rep."
WWGI/YEM_GE_EST,"Government Effectiveness; Estimate - Yemen, Rep."
WWGI/YEM_GE_NO_SRC,"Government Effectiveness; Number of Sources - Yemen, Rep."
WWGI/YEM_PV_PER_RNK,"Political Stability and Absence of Violence/Terrorism; Percentile Rank - Yemen, Rep."
WWGI/YEM_GE_PER_RNK,"Government Effectiveness; Percentile Rank - Yemen, Rep."
WWGI/YEM_PV_NO_SRC,"Political Stability and Absence of Violence/Terrorism; Number of Sources - Yemen, Rep."
WWGI/YEM_PV_STD_ERR,"Political Stability and Absence of Violence/Terrorism; Standard Error - Yemen, Rep."
WWGI/YEM_PV_EST,"Political Stability and Absence of Violence/Terrorism; Estimate - Yemen, Rep."
WWGI/YEM_GE_STD_ERR,"Government Effectiveness; Standard Error - Yemen, Rep."
WWGI/YEM_RQ_PER_RNK,"Regulatory Quality; Percentile Rank - Yemen, Rep."
WWGI/YEM_RQ_EST,"Regulatory Quality; Estimate - Yemen, Rep."
WWGI/YEM_RQ_NO_SRC,"Regulatory Quality; Number of Sources - Yemen, Rep."
WWGI/YEM_RL_EST,"Rule of Law; Estimate - Yemen, Rep."
WWGI/YEM_RQ_STD_ERR,"Regulatory Quality; Standard Error - Yemen, Rep."
WWGI/YEM_RL_PER_RNK,"Rule of Law; Percentile Rank - Yemen, Rep."
WWGI/YEM_VA_EST,"Voice and Accountability; Estimate - Yemen, Rep."
WWGI/YEM_RL_NO_SRC,"Rule of Law; Number of Sources - Yemen, Rep."
WWGI/YEM_RL_STD_ERR,"Rule of Law; Standard Error - Yemen, Rep."
WWGI/YEM_VA_NO_SRC,"Voice and Accountability; Number of Sources - Yemen, Rep."
WWGI/YEM_VA_PER_RNK,"Voice and Accountability; Percentile Rank - Yemen, Rep."
WWGI/ZAF_CC_EST,Control of Corruption; Estimate - South Africa
WWGI/YEM_VA_STD_ERR,"Voice and Accountability; Standard Error - Yemen, Rep."
WWGI/ZAF_CC_NO_SRC,Control of Corruption; Number of Sources - South Africa
WWGI/ZAF_CC_STD_ERR,Control of Corruption; Standard Error - South Africa
WWGI/ZAF_CC_PER_RNK,Control of Corruption; Percentile Rank - South Africa
WWGI/ZAF_GE_EST,Government Effectiveness; Estimate - South Africa
WWGI/ZAF_GE_NO_SRC,Government Effectiveness; Number of Sources - South Africa
WWGI/ZAF_GE_STD_ERR,Government Effectiveness; Standard Error - South Africa
WWGI/ZAF_GE_PER_RNK,Government Effectiveness; Percentile Rank - South Africa
WWGI/ZAF_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - South Africa
WWGI/ZAF_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - South Africa
WWGI/ZAF_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - South Africa
WWGI/ZAF_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - South Africa
WWGI/ZAF_RQ_EST,Regulatory Quality; Estimate - South Africa
WWGI/ZAF_RQ_NO_SRC,Regulatory Quality; Number of Sources - South Africa
WWGI/ZAF_RL_EST,Rule of Law; Estimate - South Africa
WWGI/ZAF_RQ_STD_ERR,Regulatory Quality; Standard Error - South Africa
WWGI/ZAF_RQ_PER_RNK,Regulatory Quality; Percentile Rank - South Africa
WWGI/ZAF_RL_NO_SRC,Rule of Law; Number of Sources - South Africa
WWGI/ZAF_VA_EST,Voice and Accountability; Estimate - South Africa
WWGI/ZAF_VA_NO_SRC,Voice and Accountability; Number of Sources - South Africa
WWGI/ZAF_RL_PER_RNK,Rule of Law; Percentile Rank - South Africa
WWGI/ZAF_VA_STD_ERR,Voice and Accountability; Standard Error - South Africa
WWGI/ZAF_RL_STD_ERR,Rule of Law; Standard Error - South Africa
WWGI/ZMB_CC_NO_SRC,Control of Corruption; Number of Sources - Zambia
WWGI/ZMB_CC_EST,Control of Corruption; Estimate - Zambia
WWGI/ZMB_CC_PER_RNK,Control of Corruption; Percentile Rank - Zambia
WWGI/ZMB_CC_STD_ERR,Control of Corruption; Standard Error - Zambia
WWGI/ZAF_VA_PER_RNK,Voice and Accountability; Percentile Rank - South Africa
WWGI/ZMB_GE_NO_SRC,Government Effectiveness; Number of Sources - Zambia
WWGI/ZMB_GE_EST,Government Effectiveness; Estimate - Zambia
WWGI/ZMB_GE_PER_RNK,Government Effectiveness; Percentile Rank - Zambia
WWGI/ZMB_GE_STD_ERR,Government Effectiveness; Standard Error - Zambia
WWGI/ZMB_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Zambia
